"Time","sum(rate(pg_stat_statements_calls_total[1m]))"
2025-06-03 21:18:00,2.27
2025-06-03 21:18:15,2.07
2025-06-03 21:18:30,2.09
2025-06-03 21:18:45,2.24
2025-06-03 21:19:00,1.89
2025-06-03 21:19:15,2.07
2025-06-03 21:19:30,1.78
2025-06-03 21:19:45,2.09
2025-06-03 21:20:00,2.36
2025-06-03 21:20:15,2.16
2025-06-03 21:20:30,2.07
2025-06-03 21:20:45,1.96
2025-06-03 21:21:00,1.96
2025-06-03 21:21:15,1.91
2025-06-03 21:21:30,1.96
2025-06-03 21:21:45,2.16
2025-06-03 21:22:00,2.13
2025-06-03 21:22:15,1.98
2025-06-03 21:22:30,2.02
2025-06-03 21:22:45,2.07
2025-06-03 21:23:00,2.04
